model_response,skill,ground_truth,reasoning_ground_truth,image
A,['deductive'],A,"This question asks which statement we cannot know based on the information provided by the passage.     Line 3 states that the chair is the same colour as the furniture next to the sofa, which line 5 states is yellow. Therefore, this is true.",./images/v1_322.png
C,['deductive'],C,">There is no indication of the size of the stools in comparison to the chair. Therefore, it is insufficient information.",./images/v1_323.png
C,['deductive'],C,">There is no indication that there is a desk next to the sofa. However, there is also no indication of what furniture is next to the sofa. Therefore, we cannot say and thus this is insufficient information.",./images/v1_324.png
A,['deductive'],A,">Job I - Job IV does not meet Julia’s salary requirements. Job III has too many working hours for Julia, though it fits in with the hours she is available for. Job II is not compatible with the skills and working hours she desires. Job I fulfils her requirements with all the criteria; salary, working hours, pay and skills.",./images/v1_325.png
The correct answer is: E,['deductive'],E,">If working hours and pay were not a problem for Julia, then both Job II and Job III lose that challenge against them. However, Julia still cannot do Job II as she does not have the required Numerical skill. Therefore, Job I, III and IV become possible. III is most paid and IV least paid.  Subtract £800 by £580 to get the difference = £220.",./images/v1_326.png
A,['deductive'],A,">Line 1 states that the people determine what is produced. Line 2 states that the government is made up of the people. Therefore, the people determine what is produced. This is a syllogism. Thus, this statement is true.",./images/v1_327.png
C,['deductive'],C,">Line 1 states that the people determines what is produced. Line 3 states that production, in other words what is produced, is determined by the free-market. Line 4 states that the free-market is made up of production. But this does not mean it is determined by currencies. We therefore do not have enough information to determine this. Therefore, it is insufficient information.",./images/v1_328.png
B,['deductive'],B," >Line 3 states that the production is determined by the free-market which line 5 states is determined by the government. Therefore, this statement is false. Instead, the opposite is true, that the free-market determines the production.",./images/v1_329.png
C,['deductive'],C," >While line 1 states that the people determine what is produced, it does not mention what the production is made up of.     Production is made by the people, not of the people. Therefore, there is insufficient information.",./images/v1_330.png
D,['numerical'],D,"Step 1– Calculate the totals for Slot machines, Roulette, Other table games  Slot machines = 1.3 + 1.4 + 1.8 + 1.5 = 6  Roulette = 0.8 + 0.6 + 0.6 + 0.7 = 2.7    Other table games = 4.4 + 4.2 + 4.5 + 4.8 = 17.9     Step 2– Calculate the difference   17.9 – 6 – 2.7 = 9.2     Step 3– Put into £millions = 0.92     Thus the correct answer is (D) 0.92",./images/v1_331.png
The correct answer is: E,['numerical'],E,"Step 1- Amount gambled/No of people = 140,000 / 1,520,000 = £0.09     Thus the correct answer is (E) £0.09",./images/v1_332.png
A,['numerical'],A,"Step 1- Calculate the entrance fee revenue for each year, as follows:  Attendances  Entrance fee revenue  2006  1,460,000 x 15 = £21,900,000   2007   1,520,000  15 = £22,800,000    2008  1,630,000 x 15 = £24,450,000   2009  1,680,000 x 15 = £25,200,000     Thus the correct answer is (A) 2006, 2007",./images/v1_333.png
D,['numerical'],D," Step 1– Calculate the yearly change in attendance 2007 = 0.6 increase  2008 = 1.1 increase 2009 = 0.5 increase  2010 prediction = 0.3 decrease Step 2- Calculate the average yearly change in attendance  (0.6 + 1.1 + 0.5 – 0.3) / 4 = 0.475 (100,000s) = 47,500   Thus the correct answer is (D) 47,500 increase",./images/v1_334.png
C,['numerical'],C," Step 1- 2010 projected casino revenues = 4.7 + 1.1 + 0.5 = 6.3  6.3 x 7 = 44.1     44.1 x 110% = 48.51 (£100,000s)   Thus the correct answer is (C) £4.85 million ",./images/v1_335.png
D,['numerical'],D,Step 1- Calculate the average     (2.6 + 1.6 -1.8 - 0.8 + 1.2) / 5 = 0.56     Thus the correct answer is (D)  0.56 ,./images/v1_336.png
A,['numerical'],A,"Step 1 Calculate the total R&D spends per project for 2009 (given in the table):  Addition of 5 projects = 2,483.4 (1000)   Step 2 From the graph we see that the 2010 predicted change in R&D spend is +1.2% in the 2009 value. So add the 1.2%:  2,483,400 x 101.2% =2.51 million   Thus the correct answer is (A) 2.5 millio",./images/v1_337.png
C,['numerical'],C,"Step 1 Total R&D spend for 2009 is obtained from the table. Addition of 5 projects = 2,483.4 (1000) = 2,483,400. You may still have this number from your previous notes. Note 1: Notice that the graph gives change in R&D spend compared with previous year. So in 2009 the change compared to 2008 was -0.8% from the graph. It is NOT the difference between -1.8% and -0.8% (i.e. +1.0%).      Note 2: To get the correct percentage calculation think about a 0.8% drop from the 2008 figure to the 2009 figure. We would say [2008 figure] x 0.992 = [2009 figure]. We have calculated the 2009 figure to be 2,483,400 so by rearranging we can find 2008.         Step 2 Allow for the 0.8% decrease in R&D spend for 2009 compared with 2008  2,483,400 / 0.992 = 2,503,427     Step 3 To the nearest 1000   Thus the correct answer is (C) 2,503,000",./images/v1_338.png
D,['numerical'],D,"Step 1- Total R&D spend in 2009 was 2,483.4 (thousands). So 2,483,400. Step 2- R&D overheads we are told are 12% of spend so 12% x 2,483,400 = 298,008. Step 3- The graph tells us that the R&D spend in 2010 is projected to increase by 1.2%. This will be 2,483,400 x 1.012 = 2,513,200.8.  And we are told in the question that the R&D overheads are expected to increase by 1.1%. This will be 298,008 x 1.011 = 301,286.1.   Step 4- So the available R&D money left after overheads is (2,513,200.8 minus 301,286.1) = 2,211,914.7.   Thus the correct answer is (D) 2.21 million",./images/v1_339.png
B,['numerical'],B," Step 1 Add the additional 2.5% R&D charge for the two most expensive R&D projects for 2009 2010 additional New product development spend = 1056 x 0.025 = 26.4   2010 additional Process improvement systems spend = 672.8 x 0.025 = 16.82    Step 2 Calculate Total R&D spend for 2009  Total R&D spend = 425.9 + 672.8 + 215.5 + 1,056 + 113.2 + 26.4 + 16.82 = 2,526,620      Thus the correct answer is (B) 2,527,000",./images/v1_340.png
A,['numerical'],A," Step 1- The pie-chart shows that 16% of Directors hold shares, so 100 – 16 = 84% do not hold shares     Step 2- Calculate the total number of director shares at 30 April 2009   Director At 30 April 2009  Geoffrey Yates   1,050   Tobey Gilham  950   Susan Preddy  820   Samantha Hoxton  1,100  Trudy Stupples  960  Total = 4,880  Step 3- Calculate 84%   16% = 4,880  84% = 4,880 x 84 / 16 = 25,620   Thus the correct answer is (A) 25,620.",./images/v1_341.png
B,['numerical'],B,Step 1- The largest number of shares can be found by calculating the differences in shareholdings between the periods 1stApril TO 30 April and 30 April TO 31stMay.,./images/v1_342.png
C,['numerical'],C,"   Step 1- From the table, Tobey Gilham holds 820 shares at 31 May 2009    820 / 2 = 410 shares at 45 per share     45 x 410 = 18,450   Thus the correct answer is (C) 18,450",./images/v1_343.png
B,['numerical'],B,"  Step 1- Go through checking whether each answer option is true or false  Note 1- Current employees and Directors owned 37% of Leutts shares on 30 April 2009 not 40%. FALSE  Note 2- The largest Director share dealing was 1440 shares which Trudy Stupples bought between 30 April  31stMay. TRUE  Note 3- Directors held 4,880 shares in total on 30 April 2009 not 4870 shares. FALSE   Note 4- Trudy Stupples held the most shares of any Director on 1stApril 2009 not Tobey Gilham. FALSE  Note 5- Each Director does not have less shares on 31 May 2009 compared to 1stApril 2009 Trudy Stupples has more shares. FALSE  Thus the correct answer is (B) The largest Director share dealing was 1440 shares",./images/v1_344.png
D,['numerical'],D," Step 1- Total number of Director shares = 4,880 This represents 16% of the total shares So, 100% = 4880 x 100 / 16 = 30,500 Company share valuation = 30,500 x 52 = 1,586,000     Thus the correct answer is (D) 1,586,000",./images/v1_345.png
C,['numerical'],C," Step 1- Total 400,000 house sales = 230 + 270 = 500 houses Step 2- 500 = 2009 target (5 salesrooms) x 80% / 100  2009 target (5 salesrooms) = 500/0.8 = 625 Step 3- 2009 target per salesroom = 625/5 = 125 Thus the correct answer is (C) 125",./images/v1_346.png
C,['numerical'],C,"Step 1 Calculate the total number of houses where stamp duty is due 300,000 houses: 460 + 490 = 950   400,000 houses: 230 + 270 = 500 500,000 houses: 150 + 175 = 325  Step 2 Calculate the stamp duty due 950 x 300,000 x 3% = 8,550,000  500 x 400,000 x 3% = 6,000,000  325 x 500,000 x 3% = 4,875,000 Total = 19,425,000  Thus the correct answer is (C) 19,425,000",./images/v1_347.png
B,['numerical'],B,"Step 1- Calculate the total house sales for each half-year period, as follows;  Price    Jan to June 2009   July to Dec 2009   Total Sales (million) 200,000    310 340  130   300,000    460   490  285   400,000  230   270   200   500,000   150  175   162.5   777.5   Thus the correct answer is (B) 777.5 million",./images/v1_348.png
E,['numerical'],E," Step 1- Calculate the total sales for Jan to June: 200,000 x 310 = 62,000,000 300,000 x 460= 138,000,000   400,000 x 230 = 92,000,000  500,000 x 150 = 75,000,000 62,000,000 + 138,000,000 + 92,000,000 + 75,000,000 = 367,000,000   Step 2- Calculate the total sales for July to Dec and apply the increase of a fifth:   200,000 x 340 x 1.2 = 81,600,000  300,000 x 490 x 1.2 = 176,400,000  400,000 x 270 x 1.2 = 129,600,000 500,000 x 175 x 1.2 = 105,000,000     81,600,000 + 176,400,000 + 129,600,000 + 105,000,000 = 492,600,000  Step 3- Calculate the total difference between the two periods: 492,600,000 - 367,000,000 = 125,600,000 ",./images/v1_349.png
E,['numerical'],E,Step 1 Calculate the difference between the value of Jan-June house sales and the value of July-December house sales. This sum in millions is: 6 + 9 + 16 + 12.5 = 43.5 million. Step 2  Calculate the marketing spend needed  43.5 / 3 = 14.5 (million).  Thus the correct answer is (E) 14.5 million,./images/v1_350.png
A,['numerical'],A,"Step 1– Calculate the regional sales for the current year using the table.  Step 2– Compare the numbers from Step 1 to the figures for the previous year and for next year, as follows;   Region   Previous Year  Current year  Next Year's Projection  Northern  310   310  320     Southern  170   160  165      Eastern   290   300  275      Western   255   280  270     Central   110   90   125   Only the Northern region has maintained sales at 310 for the previous and current year, as well as projecting an increase in sales to 320 for next year.     Thus the correct Answer is (A) Northern region ",./images/v1_351.png
The correct answer is: E,['numerical'],E, Step 1- Calculate the difference between the highest regional sales (Northern) and the lowest regional sales (Central)   310 – 90 = £220 million    Thus the correct Answer is (E) £220 million ,./images/v1_352.png
The correct answer is: C,['numerical'],C, Thus the correct Answer is (C) ,./images/v1_353.png
The correct answer is: D,['numerical'],D, Step 1– Put the Previous Year’s sales for these regions into a ratio  110:290   Step 2– Put the Current Year’s sales for these regions into a ratio   90:300    Step 3– Simplify these ratios by dividing by the highest common denominator  11:29 for Previous Year (after division by 10)   3:10 for Current Year (after division by 30)   Thus the correct answer is (D) 11:29 (Previous Year); 3:10 (Current Year),./images/v1_354.png
The correct answer is: A,['numerical'],A," Step 1- Calculate the totals for each region, as follows: Current Year  next Year  total Northern  310  320   630  Southern  160  165   325  Eastern   300  275   575 Western   280  270   550 Central   90   125   215 Thus the correct answer is (A) Central, Southern, Western, Eastern, Northern",./images/v1_355.png
D,['numerical'],D,"the correct answer is (D) 2008, 2005 ",./images/v1_356.png
The correct answer is: C,['numerical'],C," Step 1- Go through each of the answer options checking if it is true or false: Is True  Germany’s GDP (3.1) is over 20% higher than the France’s GDP (2.4). TRUE From the graph, France’s GDP per person ranges from £23,500 to £24,500, not the UK’s. So this is FALSE. The average GDP per country for the 5 countries shown is (2.05 + 2.4 + 3.1 + 1.4 + 1.95) / 5 = 2.18 TRUE e) The lowest and highest GDP per person are £20,500 and £25,700 respectively. TRUE    Thus the False answer is (C) ",./images/v1_357.png
A,['numerical'],A," Step 1- From looking at the table Country Gross Domestic Product there is only a 0.4 difference in GDP per person between the UK (24.0) and Italy (23.6)     Thus the correct answer is (A) UK, Italy",./images/v1_358.png
A,['numerical'],A, Step 1- Look at the direction of the lines representing the UK and France (on the line graph). For both the France and the UK to be increasing the lines need to both be pointing upwards. This is only true for 2008-2009.     Thus the correct answer is (A) 2008-2009,./images/v1_359.png
E,['numerical'],E," the correct answer is (E) 23,650 (France); 23,200 (UK)",./images/v1_360.png
The correct answer is: B,['numerical'],B," Step 1- We see from the graph that the cumulative Bernd sales at the en of April are 9,000.  We see that the cumulative Bernd sales at the end of May are 10,000.  Step 2- Therefore during May (10,000 MINUS 9,000 =) 1,000 Bernd cars must have been sold.  Thus the correct answer is (B) 1,000",./images/v1_361.png
The correct answer is: D,['numerical'],D," Step 1- (Cumulative sales July) MINUS (Cumulative sales April) = (21,000) MINUS (15,000) = 6,000    Thus the correct answer is (D) 6,000",./images/v1_362.png
A,['numerical'],A," Step 1- First, find out the number of Bernd cars sold in June. From the cumulative graph we see this is 1,000.    Step 2- Now, compare this with how many Bernd cars were actually sold in July. We see from the graph there were no sales 1,000 MINUS 0 = 1,000   Thus the correct answer is (A) 1,000",./images/v1_363.png
C,['numerical'],C," Step 1- In Liverpool the population was 500,000 at the start of the year. We are told there were 13.4 births per thousand of the population. So this means there were (500 x 13.4 =) 6,700. Step 2- We are told there were 12.4 deaths per thousand of the population, i.e. 500 x 12.4 = 6,200.   Step 3- The net effect on population is 6,700 – 6,200 = 500. Thus the correct answer is (C) 500 increase.",./images/v1_364.png
A,['numerical'],A," Step 1 - In Birmingham there were 995 x 13.6 = 13,532 births. In Glasgow there were 600 x 13.8 = 8,280 live births. In total that is 13,532 + 8,280 = 21,812  Thus the correct answer is (A) 21,812",./images/v1_365.png
D,['numerical'],D," Tip -The question says of the cities shown. Without this technically we would have to respond cannot say because we are not told any information about any other cities and therefore we would not be able to say with any certainty which had the lowest number. As it happens in this question cannot say is not an option so we would have been OK, but its a catch worth looking out for.    Step 1 -Work through each city shown calculating the number of under 15 year olds. Donot worry about entering the thousands in your calculator this just wastes time.    London: donot bother calculating as it is not a possible answer.  Birmingham: 995 x 0.18 = 179.1   Glasgow: 600 x 0.21 = 126    Liverpool: 500 x 0.22 = 110   Leeds: 450 x 0.23 = 103.5    Thus the correct answer is (D) Leeds",./images/v1_366.png
A,['numerical'],A,"Step 1 -Calculate the percentage increase from 2007 to 2008 for each country. Do not bother with the billions, the percentage calculation will not be affected.  UK: 38 / 35 = 8.57% increase     US: 136 / 128 = 6.25% increase  Germany: 46 / 44 = 4.55% increase  Italy: 28 / 26 = 7.69% increase     Thus the correct answer is (A) UK",./images/v1_367.png
A,['numerical'],A," Step 1 - Simply divide the public transport spend by the population for each country. Again, use units which simplify the calculation because we are only interested in the relative order of magnitude.  UK: 38 / 60.1 = 0.632   US: 136 / 302.5 = 0.450     Germany: 46 / 84.3 = 0.546  Italy: do not bother as this is not an option.     Thus the correct answer is (A) UK",./images/v1_368.png
B,['numerical'],B,Step 1- In 2006 Italy spent 25 billion An increase of 8% is: 25 billion x 1.08 = 27 billion.  Step 2- We see from the table that Italy actually spent 26 billion. That IS 1 billion short of the target. Thus the correct answer is (B) 1 billion,./images/v1_369.png
The correct answer is: D,['numerical'],D,"Step 1 - For each arrival website, calculate the percentage of visitors who made a purchase out of the number of visitors.  W: 2,876 / 315,380 = 0.912%   X: 284 / 26,850 = 1.06%   Y: 183 / 82,520 = 0.222%  Z: 204 / 12,630 = 1.62%    Thus the correct answer is (D) Website Z",./images/v1_370.png
A,['numerical'],A,"Step 1- Calculate how many more sales came from Website X than from Website Y.  284 MINUS 183 = 101.  Step 2- Calculate the profit difference. 101 x 12 = 1,212  Thus the correct answer is (A) 1,212",./images/v1_371.png
B,['numerical'],B,"Step 1- Add up the total number of visitors. 315,380 + 26,850 + 82,520 + 12,630 = 437,380. Step 2- Calculate the percentage of them who came from Website Y. 82,520 / 437,380 = 18.87%  Thus the correct answer is (B) 18.9%",./images/v1_372.png
